question,answer,tags,priority,enabled
"How do I contact support? Demo 37","Email the support team or use the support form on the site. This demo row is entry 37.","support;contact",9,"true"
"How do I request a custom project? Demo 38","Use the inquiry form and provide your project brief. This demo row is entry 38.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 39","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 39.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 40","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 40.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 41","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 41.","company;overview",10,"true"
"How do I contact support? Demo 42","Email the support team or use the support form on the site. This demo row is entry 42.","support;contact",9,"true"
"How do I request a custom project? Demo 43","Use the inquiry form and provide your project brief. This demo row is entry 43.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 44","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 44.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 45","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 45.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 46","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 46.","company;overview",10,"true"
"How do I contact support? Demo 47","Email the support team or use the support form on the site. This demo row is entry 47.","support;contact",9,"true"
"How do I request a custom project? Demo 48","Use the inquiry form and provide your project brief. This demo row is entry 48.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 49","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 49.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 50","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 50.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 51","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 51.","company;overview",10,"true"
"How do I contact support? Demo 52","Email the support team or use the support form on the site. This demo row is entry 52.","support;contact",9,"true"
"How do I request a custom project? Demo 53","Use the inquiry form and provide your project brief. This demo row is entry 53.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 54","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 54.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 55","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 55.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 56","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 56.","company;overview",10,"true"
"How do I contact support? Demo 57","Email the support team or use the support form on the site. This demo row is entry 57.","support;contact",9,"true"
"How do I request a custom project? Demo 58","Use the inquiry form and provide your project brief. This demo row is entry 58.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 59","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 59.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 60","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 60.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 61","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 61.","company;overview",10,"true"
"How do I contact support? Demo 62","Email the support team or use the support form on the site. This demo row is entry 62.","support;contact",9,"true"
"How do I request a custom project? Demo 63","Use the inquiry form and provide your project brief. This demo row is entry 63.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 64","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 64.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 65","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 65.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 66","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 66.","company;overview",10,"true"
"How do I contact support? Demo 67","Email the support team or use the support form on the site. This demo row is entry 67.","support;contact",9,"true"
"How do I request a custom project? Demo 68","Use the inquiry form and provide your project brief. This demo row is entry 68.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 69","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 69.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 70","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 70.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 71","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 71.","company;overview",10,"true"
"How do I contact support? Demo 72","Email the support team or use the support form on the site. This demo row is entry 72.","support;contact",9,"true"
"How do I request a custom project? Demo 73","Use the inquiry form and provide your project brief. This demo row is entry 73.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 74","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 74.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 75","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 75.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 76","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 76.","company;overview",10,"true"
"How do I contact support? Demo 77","Email the support team or use the support form on the site. This demo row is entry 77.","support;contact",9,"true"
"How do I request a custom project? Demo 78","Use the inquiry form and provide your project brief. This demo row is entry 78.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 79","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 79.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 80","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 80.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 81","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 81.","company;overview",10,"true"
"How do I contact support? Demo 82","Email the support team or use the support form on the site. This demo row is entry 82.","support;contact",9,"true"
"How do I request a custom project? Demo 83","Use the inquiry form and provide your project brief. This demo row is entry 83.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 84","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 84.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 85","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 85.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 86","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 86.","company;overview",10,"true"
"How do I contact support? Demo 87","Email the support team or use the support form on the site. This demo row is entry 87.","support;contact",9,"true"
"How do I request a custom project? Demo 88","Use the inquiry form and provide your project brief. This demo row is entry 88.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 89","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 89.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 90","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 90.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 91","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 91.","company;overview",10,"true"
"How do I contact support? Demo 92","Email the support team or use the support form on the site. This demo row is entry 92.","support;contact",9,"true"
"How do I request a custom project? Demo 93","Use the inquiry form and provide your project brief. This demo row is entry 93.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 94","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 94.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 95","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 95.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 96","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 96.","company;overview",10,"true"
"How do I contact support? Demo 97","Email the support team or use the support form on the site. This demo row is entry 97.","support;contact",9,"true"
"How do I request a custom project? Demo 98","Use the inquiry form and provide your project brief. This demo row is entry 98.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 99","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 99.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 100","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 100.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 101","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 101.","company;overview",10,"true"
"How do I contact support? Demo 102","Email the support team or use the support form on the site. This demo row is entry 102.","support;contact",9,"true"
"How do I request a custom project? Demo 103","Use the inquiry form and provide your project brief. This demo row is entry 103.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 104","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 104.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 105","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 105.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 106","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 106.","company;overview",10,"true"
"How do I contact support? Demo 107","Email the support team or use the support form on the site. This demo row is entry 107.","support;contact",9,"true"
"How do I request a custom project? Demo 108","Use the inquiry form and provide your project brief. This demo row is entry 108.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 109","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 109.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 110","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 110.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 111","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 111.","company;overview",10,"true"
"How do I contact support? Demo 112","Email the support team or use the support form on the site. This demo row is entry 112.","support;contact",9,"true"
"How do I request a custom project? Demo 113","Use the inquiry form and provide your project brief. This demo row is entry 113.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 114","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 114.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 115","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 115.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 116","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 116.","company;overview",10,"true"
"How do I contact support? Demo 117","Email the support team or use the support form on the site. This demo row is entry 117.","support;contact",9,"true"
"How do I request a custom project? Demo 118","Use the inquiry form and provide your project brief. This demo row is entry 118.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 119","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 119.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 120","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 120.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 121","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 121.","company;overview",10,"true"
"How do I contact support? Demo 122","Email the support team or use the support form on the site. This demo row is entry 122.","support;contact",9,"true"
"How do I request a custom project? Demo 123","Use the inquiry form and provide your project brief. This demo row is entry 123.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 124","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 124.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 125","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 125.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 126","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 126.","company;overview",10,"true"
"How do I contact support? Demo 127","Email the support team or use the support form on the site. This demo row is entry 127.","support;contact",9,"true"
"How do I request a custom project? Demo 128","Use the inquiry form and provide your project brief. This demo row is entry 128.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 129","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 129.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 130","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 130.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 131","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 131.","company;overview",10,"true"
"How do I contact support? Demo 132","Email the support team or use the support form on the site. This demo row is entry 132.","support;contact",9,"true"
"How do I request a custom project? Demo 133","Use the inquiry form and provide your project brief. This demo row is entry 133.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 134","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 134.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 135","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 135.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 136","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 136.","company;overview",10,"true"
"How do I contact support? Demo 137","Email the support team or use the support form on the site. This demo row is entry 137.","support;contact",9,"true"
"How do I request a custom project? Demo 138","Use the inquiry form and provide your project brief. This demo row is entry 138.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 139","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 139.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 140","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 140.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 141","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 141.","company;overview",10,"true"
"How do I contact support? Demo 142","Email the support team or use the support form on the site. This demo row is entry 142.","support;contact",9,"true"
"How do I request a custom project? Demo 143","Use the inquiry form and provide your project brief. This demo row is entry 143.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 144","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 144.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 145","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 145.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 146","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 146.","company;overview",10,"true"
"How do I contact support? Demo 147","Email the support team or use the support form on the site. This demo row is entry 147.","support;contact",9,"true"
"How do I request a custom project? Demo 148","Use the inquiry form and provide your project brief. This demo row is entry 148.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 149","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 149.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 150","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 150.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 151","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 151.","company;overview",10,"true"
"How do I contact support? Demo 152","Email the support team or use the support form on the site. This demo row is entry 152.","support;contact",9,"true"
"How do I request a custom project? Demo 153","Use the inquiry form and provide your project brief. This demo row is entry 153.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 154","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 154.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 155","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 155.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 156","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 156.","company;overview",10,"true"
"How do I contact support? Demo 157","Email the support team or use the support form on the site. This demo row is entry 157.","support;contact",9,"true"
"How do I request a custom project? Demo 158","Use the inquiry form and provide your project brief. This demo row is entry 158.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 159","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 159.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 160","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 160.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 161","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 161.","company;overview",10,"true"
"How do I contact support? Demo 162","Email the support team or use the support form on the site. This demo row is entry 162.","support;contact",9,"true"
"How do I request a custom project? Demo 163","Use the inquiry form and provide your project brief. This demo row is entry 163.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 164","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 164.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 165","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 165.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 166","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 166.","company;overview",10,"true"
"How do I contact support? Demo 167","Email the support team or use the support form on the site. This demo row is entry 167.","support;contact",9,"true"
"How do I request a custom project? Demo 168","Use the inquiry form and provide your project brief. This demo row is entry 168.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 169","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 169.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 170","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 170.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 171","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 171.","company;overview",10,"true"
"How do I contact support? Demo 172","Email the support team or use the support form on the site. This demo row is entry 172.","support;contact",9,"true"
"How do I request a custom project? Demo 173","Use the inquiry form and provide your project brief. This demo row is entry 173.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 174","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 174.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 175","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 175.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 176","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 176.","company;overview",10,"true"
"How do I contact support? Demo 177","Email the support team or use the support form on the site. This demo row is entry 177.","support;contact",9,"true"
"How do I request a custom project? Demo 178","Use the inquiry form and provide your project brief. This demo row is entry 178.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 179","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 179.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 180","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 180.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 181","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 181.","company;overview",10,"true"
"How do I contact support? Demo 182","Email the support team or use the support form on the site. This demo row is entry 182.","support;contact",9,"true"
"How do I request a custom project? Demo 183","Use the inquiry form and provide your project brief. This demo row is entry 183.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 184","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 184.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 185","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 185.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 186","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 186.","company;overview",10,"true"
"How do I contact support? Demo 187","Email the support team or use the support form on the site. This demo row is entry 187.","support;contact",9,"true"
"How do I request a custom project? Demo 188","Use the inquiry form and provide your project brief. This demo row is entry 188.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 189","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 189.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 190","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 190.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 191","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 191.","company;overview",10,"true"
"How do I contact support? Demo 192","Email the support team or use the support form on the site. This demo row is entry 192.","support;contact",9,"true"
"How do I request a custom project? Demo 193","Use the inquiry form and provide your project brief. This demo row is entry 193.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 194","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 194.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 195","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 195.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 196","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 196.","company;overview",10,"true"
"How do I contact support? Demo 197","Email the support team or use the support form on the site. This demo row is entry 197.","support;contact",9,"true"
"How do I request a custom project? Demo 198","Use the inquiry form and provide your project brief. This demo row is entry 198.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 199","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 199.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 200","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 200.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 201","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 201.","company;overview",10,"true"
"How do I contact support? Demo 202","Email the support team or use the support form on the site. This demo row is entry 202.","support;contact",9,"true"
"How do I request a custom project? Demo 203","Use the inquiry form and provide your project brief. This demo row is entry 203.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 204","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 204.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 205","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 205.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 206","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 206.","company;overview",10,"true"
"How do I contact support? Demo 207","Email the support team or use the support form on the site. This demo row is entry 207.","support;contact",9,"true"
"How do I request a custom project? Demo 208","Use the inquiry form and provide your project brief. This demo row is entry 208.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 209","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 209.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 210","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 210.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 211","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 211.","company;overview",10,"true"
"How do I contact support? Demo 212","Email the support team or use the support form on the site. This demo row is entry 212.","support;contact",9,"true"
"How do I request a custom project? Demo 213","Use the inquiry form and provide your project brief. This demo row is entry 213.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 214","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 214.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 215","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 215.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 216","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 216.","company;overview",10,"true"
"How do I contact support? Demo 217","Email the support team or use the support form on the site. This demo row is entry 217.","support;contact",9,"true"
"How do I request a custom project? Demo 218","Use the inquiry form and provide your project brief. This demo row is entry 218.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 219","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 219.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 220","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 220.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 221","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 221.","company;overview",10,"true"
"How do I contact support? Demo 222","Email the support team or use the support form on the site. This demo row is entry 222.","support;contact",9,"true"
"How do I request a custom project? Demo 223","Use the inquiry form and provide your project brief. This demo row is entry 223.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 224","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 224.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 225","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 225.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 226","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 226.","company;overview",10,"true"
"How do I contact support? Demo 227","Email the support team or use the support form on the site. This demo row is entry 227.","support;contact",9,"true"
"How do I request a custom project? Demo 228","Use the inquiry form and provide your project brief. This demo row is entry 228.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 229","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 229.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 230","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 230.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 231","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 231.","company;overview",10,"true"
"How do I contact support? Demo 232","Email the support team or use the support form on the site. This demo row is entry 232.","support;contact",9,"true"
